Student,English,Mathematics,Science
201760,74,59,60
201761,63,51,53
201762,46,39,30
201763,61,50,53
201764,55,43,36
201765,46,36,32
201766,62,59,59
201767,0,0,0
201768,50,39,35
201769,63,71,55
201770,52,39,37
201771,54,44,41
201772,58,44,39
201773,55,36,39
201774,67,72,57
201775,49,50,38
201776,55,51,43
201777,60,51,41
201778,54,59,38
201779,54,41,37
201780,45,42,33
201781,52,53,41
201782,54,67,59
201783,79,87,86
201784,61,45,40
201785,56,47,50
201786,46,38,33
201787,55,43,37
201788,55,58,38
201789,58,56,
201790,64,67,53
201791,58,54,63
201792,56,48,44
201793,50,44,44
201794,54,51,41
201795,51,35,42
201796,55,54,46
201797,61,75,69
201798,58,53,52
201799,65,50,44
201800,59,64,47
201801,54,33,35
201802,69,76,76
201803,57,59,47
201804,70,78,76
201805,49,48,38
201806,61,65,70
201807,62,57,59
201808,54,49,42
201809,72,66,74
201810,53,60,53
201811,0,0,0
201812,48,38,36
201813,49,37,39
201814,54,32,35
201815,57,49,47
201816,62,60,60
201817,50,40,42
201818,71,90,82
201819,47,44,39
201820,63,60,55
201821,82,55,65
201822,59,45,45
201823,74,81,87
201824,56,70,68
201825,73,76,76
201826,51,41,41
201827,64,55,67
201828,68,58,55
201829,66,63,61
201830,72,75,75
201831,58,37,43
201832,74,83,79
201833,80,78,81
201834,61,62,63
201835,61,52,63
201836,63,58,60
201837,60,57,52
201838,59,63,61
201839,67,37,42
201840,69,70,71
201841,60,53,50
201842,61,65,69
201843,81,90,82
201844,76,83,79
201845,75,65,65
201846,74,68,69
201847,61,56,54
201848,65,80,79
201849,68,80,71
201850,67,61,70
201851,72,84,72
201852,66,80,70
201853,73,74,77
201854,65,64,60
201855,81,78,87
201856,59,55,62
201857,55,52,56
201858,71,59,73
201859,69,68,69
201860,66,81,73
201861,79,95,80
201862,58,68,60
201863,58,57,59
201864,67,47,42
201865,61,60,57
201866,72,79,76
201867,61,68,63
201868,68,63,68
201869,78,82,85
201870,,83,82
201871,70,79,71
201872,82,83,77
201873,67,82,72
201874,62,78,49
201875,62,63,60
201876,68,78,70
201877,69,74,76
201878,67,70,56
201879,81,70,81
201880,64,82,67
201881,67,73,56
201882,75,81,73
201883,62,65,75
201884,70,67,69
201885,62,50,56
201886,57,80,74
201887,62,71,52
201888,65,70,60
201889,75,84,74
201890,0,0,0
201891,53,36,29
201892,56,35,33
201893,48,37,35
201894,45,28,29
201895,58,53,65
201896,54,45,43
201897,64,93,86
201898,0,0,0
201899,50,65,65
201900,58,31,35
201901,65,83,80
201902,44,31,30
201903,65,66,64
201904,69,78,83
201905,56,45,48
201906,52,51,38
201907,67,60,76
201908,62,51,42
201909,0,0,0
201910,61,63,61
201911,61,44,49
201912,57,56,48
201913,43,37,33
201914,55,48,50
201915,64,73,63
201916,52,43,44
201917,50,48,40
201918,62,84,78
201919,71,77,77
201920,39,28,28
201921,61,56,47
201922,56,50,41
201923,54,45,45
201924,52,53,52
201925,73,93,77
201926,38,35,32
201927,50,57,44
201928,72,79,79
201929,45,28,29
201930,57,72,61
201931,83,95,89
201932,56,58,47
201933,58,73,65
201934,64,70,64
201935,47,61,43
201936,43,52,38
201937,44,29,29
201938,48,43,30
201939,71,82,85
201940,52,38,33
201941,53,35,35
201942,47,39,30
201943,59,59,71
201944,57,56,38
201945,74,70,62
201946,51,65,42
201947,68,77,73
201948,75,90,83
201949,55,54,
201950,58,58,62
201951,55,43,36
201952,55,56,48
201953,55,40,36
201954,49,58,42
201955,53,40,37
201956,50,49,35
201957,50,53,40
201958,43,39,28
201959,57,66,57
201960,41,49,29
201961,53,61,39
201962,31,24,22
201963,51,57,39
201964,42,27,28
201965,48,35,31
201966,57,65,45
201967,56,61,42
201968,47,31,31
201969,47,43,35
201970,40,47,30
201971,59,76,60
201972,83,57,64
201973,42,31,30
201974,50,61,43
201975,41,30,26
201976,77,75,68
201977,55,60,54
201978,49,29,35
201979,51,41,41
201980,51,37,33
201981,55,59,48
201982,55,33,36
201983,50,44,38
201984,67,69,67
201985,56,53,48
201986,76,78,77
201987,54,48,40
201988,52,48,50
201989,47,58,38
201990,52,51,41
201991,47,62,50
201992,56,60,44
201993,68,65,63
201994,54,69,63
201995,48,33,33
201996,78,90,88
201997,65,69,56
201998,49,54,46
201999,58,86,76
202000,60,66,48
202001,52,45,45
202002,64,90,85
202003,45,47,35
202004,64,68,52
202005,52,53,45
202006,53,63,46
202007,61,79,65
202008,55,43,37
202009,59,45,39
202010,71,53,59
202011,60,63,48
202012,73,58,52
202013,46,35,35
202014,51,37,31
202015,69,85,85
202016,60,64,64
202017,49,42,36
202018,65,50,53
202019,48,58,38
202020,67,74,79
202021,48,40,33
202022,56,54,45
202023,55,45,40
202024,51,35,35
202025,47,36,35
202026,30,27,20
202027,42,44,25
202028,47,40,39
202029,53,57,42
202030,51,56,35
202031,48,63,39
202032,41,40,31
202033,48,35,35
202034,50,81,72
202035,44,35,39
202036,54,44,45
,50,47,36
202038,53,42,40
202039,64,50,53
202040,49,44,35
202041,58,66,61
202042,51,47,39
202043,67,77,64
202044,51,36,41
202045,72,84,79
202046,48,42,38
202047,72,49,62
202048,52,66,56
202049,44,33,33
202050,64,63,54
202051,64,73,61
202052,50,55,42
202053,42,42,31
202054,61,69,70
202055,57,67,56
202056,52,50,39
202057,59,59,46
202058,53,55,41
202059,45,44,32
202060,72,73,64
202061,52,38,37
202062,51,40,42
202063,45,35,31
202064,52,50,43
202065,55,45,36
202066,57,47,44
202067,58,64,64
202068,60,48,44
202069,55,63,60
202070,59,46,58
202071,55,45,37
202072,0,0,0
202073,45,29,25
202074,61,43,45
202075,52,54,38
202076,49,60,53
202077,53,35,36
202078,67,73,74
202079,48,35,
202080,55,43,37
202081,41,36,30
202082,44,49,36
202083,47,53,37
202084,58,55,45
202085,53,47,38
202086,65,45,41
202087,55,56,69
202088,57,63,39
202089,55,53,44
202090,47,31,27
202091,57,68,71
202092,50,47,47
202093,55,62,51
202094,67,59,69
202095,57,55,56
202096,56,46,45
202097,48,48,37
202098,51,53,45
202099,43,43,33
202100,48,44,38
202101,57,54,45
202102,45,42,30
202103,52,40,42
202104,61,75,56
202105,45,42,32
202106,46,56,35
202107,51,42,36
202108,71,67,68
202109,53,42,38
202110,46,38,33
202111,51,39,37
202112,61,78,54
202113,62,53,55
202114,65,71,57
202115,40,24,35
202116,42,32,31
202117,54,45,35
202118,0,0,0
202119,53,53,43
202120,0,0,0
202121,48,61,54
202122,41,33,37
202123,47,58,49
202124,43,57,51
202125,52,60,47
202126,46,53,44
202127,41,54,48
202128,43,52,49
202129,63,74,62
202130,70,78,73
202131,55,64,47
202132,55,33,30
202133,45,31,31
202134,53,46,38
202135,51,68,43
202136,57,49,39
202137,45,33,33
202138,59,52,37
202139,61,68,62
202140,60,81,80
202141,56,38,36
202142,68,53,50
202143,51,45,39
202144,57,42,41
202145,56,41,47
202146,50,45,37
202147,69,58,57
202148,73,78,74
202149,55,36,39
202150,64,70,70
202151,45,63,44
202152,60,53,50
202153,52,43,40
202154,62,67,48
202155,57,65,55
202156,55,59,55
202157,59,61,62
202158,54,38,36
202159,56,50,44
202160,51,40,29
202161,85,69,72
202162,48,48,29
202163,56,57,50
202164,73,63,53
202165,46,30,30
202166,66,67,78
202167,70,49,57
202168,39,43,31
202169,62,74,73
202170,57,35,28
202171,35,39,35
202172,62,48,50
202173,67,77,49
202174,53,32,36
202175,62,55,53
202176,54,42,36
202177,61,51,57
202178,66,56,58
202179,47,33,27
202180,76,65,76
202181,52,42,31
202182,72,88,87
202183,50,31,30
202184,60,73,76
202185,66,61,53
202186,61,62,54
202187,62,35,36
202188,52,40,41
202189,50,30,35
202190,48,,42
202191,64,70,67
202192,45,45,36
202193,60,55,53
202194,56,45,40
202195,45,41,30
202196,48,49,39
202197,47,33,49
202198,46,48,46
202199,46,38,36
202200,75,70,80
202201,63,68,61
202202,0,0,0
202203,55,53,46
202204,48,54,43
202205,57,67,67
202206,43,28,39
202207,56,64,49
202208,51,76,42
202209,50,32,28
202210,52,70,61
202211,50,57,36
202212,54,56,35
202213,60,39,42
202214,45,45,32
202215,50,71,36
202216,55,57,55
202217,52,50,42
202218,48,59,42
202219,47,36,35
202220,46,29,29
202221,52,52,36
202222,54,65,52
202223,62,44,42
202224,64,44,54
202225,57,68,54
202226,54,69,48
202227,43,46,33
202228,53,53,39
202229,50,61,45
202230,47,60,39
202231,38,37,51
202232,47,41,35
202233,65,63,62
202234,50,50,38
202235,55,64,74
202236,48,53,35
202237,57,52,37
202238,49,35,33
202239,44,53,35
202240,53,84,40
202241,56,64,38
202242,57,42,35
202243,60,46,36
202244,48,64,41
202245,56,41,38
202246,76,83,87
202247,58,57,57
202248,59,46,47
202249,71,86,89
202250,58,51,48
202251,58,53,44
202252,53,66,50
202253,62,68,67
202254,61,63,59
202255,73,65,62
202256,60,73,52
202257,49,29,32
202258,52,49,42
202259,48,56,43
202260,59,58,
202261,47,43,33
202262,65,56,53
202263,48,50,37
202264,54,49,46
202265,50,54,32
202266,50,63,57
202267,50,50,38
202268,45,32,33
202269,65,53,62
202270,57,36,36
202271,0,0,0
202272,45,50,40
202273,46,41,29
202274,53,40,39
202275,46,40,39
202276,62,67,53
202277,52,40,32
202278,57,40,39
202279,56,54,43
202280,51,42,40
202281,38,45,39
202282,50,50,37
202283,47,36,35
202284,57,74,68
202285,58,49,56
202286,50,52,45
202287,49,45,43
202288,44,28,28
202289,65,56,48
202290,61,62,48
202291,46,48,33
202292,48,42,35
202293,45,38,27
202294,56,40,39
202295,41,40,28
202296,54,83,55
202297,47,43,30
202298,59,35,38
202299,51,48,44
202300,57,35,35
202301,44,26,33
202302,0,0,0
202303,64,62,46
202304,62,51,51
202305,57,58,50
202306,65,86,71
202307,69,54,52
202308,60,55,52
202309,37,37,28
202310,55,52,50
202311,66,73,62
202312,57,52,49
202313,50,37,40
202314,44,39,36
202315,60,80,59
202316,60,73,67
202317,53,35,44
202318,81,87,78
202319,59,53,45
202320,61,61,62
202321,59,44,40
202322,46,44,35
202323,56,73,53
202324,39,32,29
202325,60,60,45
202326,48,42,33
202327,64,48,32
202328,70,83,66
202329,50,55,31
202330,43,37,32
202331,0,0,0
202332,56,64,52
202333,72,52,60
202334,35,54,32
202335,38,48,32
202336,64,69,63
202337,55,61,57
202338,62,68,66
202339,41,41,33
202340,54,65,52
202341,48,49,31
202342,51,62,49
202343,45,36,25
202344,57,80,64
202345,64,58,52
202346,53,37,40
202347,53,40,39
202348,56,61,49
202349,51,50,33
202350,42,36,25
202351,42,35,33
202352,54,39,31
202353,44,36,32
202354,54,40,35
202355,69,62,62
202356,65,74,59
202357,54,47,41
202358,60,65,58
202359,53,43,35
202360,54,58,42
202361,42,37,31
202362,51,43,35
202363,55,42,35
202364,68,69,61
202365,54,56,59
202366,60,69,70
202367,64,65,66
202368,70,73,64
202369,48,40,51
202370,60,62,57
202371,46,39,40
202372,66,76,71
202373,70,73,72
202374,55,69,62
202375,52,33,35
202376,0,0,0
202377,52,61,44
202378,50,43,46
202379,61,58,59
202380,45,50,33
202381,56,57,52
202382,45,36,31
202383,47,44,39
202384,42,37,30
202385,54,52,45
202386,56,47,40
202387,48,38,32
202388,58,50,40
202389,47,30,26
202390,48,48,30
202391,47,45,41
202392,49,37,35
202393,44,42,28
202394,53,52,42
202395,55,60,39
202396,44,37,26
202397,48,45,36
202398,61,63,55
202399,49,48,39
202400,52,35,35
202401,47,49,38
202402,66,54,44
202403,59,67,52
202404,48,29,33
202405,63,43,47
202406,57,42,39
202407,72,65,70
202408,69,75,74
202409,51,39,38
202410,53,37,35
202411,49,45,33
202412,69,68,78
202413,50,36,33
202414,60,51,52
202415,51,37,31
202416,43,35,28
202417,55,53,37
202418,59,75,68
202419,52,65,54
202420,49,38,28
202421,48,42,29
202422,55,40,35
202423,56,35,37
202424,51,55,50
202425,45,36,35
202426,42,35,29
202427,49,33,27
202428,38,27,30
202429,54,35,39
202430,46,36,30
202431,49,48,43
202432,64,65,58
202433,48,47,43
202434,50,44,37
202435,49,51,42
202436,0,0,0
202437,64,68,37
202438,49,41,30
202439,54,52,37
202440,64,73,55
202441,53,47,37
202442,0,0,0
202443,62,71,71
202444,59,74,71
202445,60,70,69
202446,54,53,40
202447,58,28,35
202448,54,62,54
202449,66,69,72
202450,62,48,66
202451,45,39,45
202452,47,58,55
202453,55,62,56
202454,58,65,58
202455,55,53,55
202456,46,41,31
202457,45,66,35
202458,52,43,38
202459,37,25,28
202460,62,56,60
202461,61,88,70
202462,50,40,38
202463,53,44,33
202464,65,55,69
202465,53,60,54
202466,78,90,93
202467,61,42,49
202468,54,45,
202469,61,35,35
202470,55,51,50
202471,59,47,48
202472,73,83,77
202473,54,41,45
202474,54,43,38
202475,62,50,52
202476,47,31,37
202477,46,33,28
202478,57,53,52
202479,61,60,60
202480,54,43,50
202481,60,45,50
202482,56,69,55
202483,59,47,63
202484,51,35,35
202485,54,77,72
202486,63,40,62
202487,51,50,50
202488,56,43,40
202489,52,47,39
202490,51,70,39
202491,35,38,35
202492,54,36,30
202493,60,61,55
202494,54,70,61
202495,50,56,58
202496,61,70,64
202497,52,63,58
202498,43,42,30
202499,60,43,56
202500,70,84,75
202501,59,67,71
202502,51,43,46
202503,53,54,71
202504,46,43,45
202505,74,80,68
202506,47,31,29
202507,60,67,50
202508,56,48,53
202509,59,42,40
202510,46,39,43
202511,45,33,29
202512,43,39,35
202513,53,66,57
202514,46,33,30
202515,64,32,42
202516,69,60,62
202517,43,33,30
202518,68,71,78
202519,68,72,71
202520,72,84,85
202521,66,70,82
202522,48,36,35
202523,64,61,72
202524,46,53,42
202525,51,37,35
202526,48,43,36
202527,57,57,56
202528,56,54,53
202529,45,36,36
202530,48,61,39
202531,60,66,58
202532,51,28,35
202533,45,38,41
202534,63,85,85
202535,53,35,35
202536,63,48,65
202537,53,63,58
202538,51,39,35
202539,49,39,35
202540,47,44,39
202541,58,50,47
202542,53,41,38
202543,57,45,50
202544,57,46,57
202545,57,46,43
202546,52,45,43
202547,48,40,35
202548,53,43,50
202549,54,52,49
202550,57,51,56
202551,68,45,51
202552,52,37,37
202553,52,47,54
202554,56,73,77
202555,46,39,32
202556,76,75,78
202557,61,50,53
202558,59,55,57
202559,60,49,65
202560,61,78,79
202561,48,52,38
202562,44,47,42
202563,48,49,47
202564,49,57,46
202565,50,48,42
202566,55,48,50
202567,52,48,42
202568,48,46,39
202569,52,37,33
202570,46,47,36
202571,55,68,54
202572,69,87,83
202573,55,54,47
202574,63,67,66
202575,52,43,45
202576,46,45,39
202577,58,55,65
202578,52,46,40
202579,61,65,65
202580,52,47,51
202581,58,64,57
202582,42,29,35
202583,62,64,56
202584,51,40,46
202585,51,51,50
202586,71,85,78
202587,40,37,32
202588,60,48,49
202589,53,73,57
202590,48,49,46
202591,57,43,48
202592,52,50,56
202593,67,51,61
202594,52,39,45
202595,52,35,40
202596,50,35,36
202597,60,60,54
202598,57,30,44
202599,45,50,40
202600,47,30,36
202601,49,36,39
202602,54,54,46
202603,60,61,63
202604,59,55,47
202605,72,77,88
202606,61,38,42
202607,59,56,59
202608,44,45,37
202609,65,86,71
202610,47,48,46
202611,50,48,39
202612,62,75,60
202613,54,51,58
202614,60,45,53
202615,47,44,39
202616,54,53,46
202617,63,54,65
202618,51,53,44
202619,40,40,35
202620,56,44,42
202621,52,37,39
202622,58,60,60
202623,58,55,64
202624,57,54,46
202625,53,40,53
202626,48,38,32
202627,58,48,50
202628,64,57,57
202629,60,52,57
202630,49,44,52
202631,45,48,36
202632,46,35,33
202633,58,42,54
202634,44,41,35
202635,60,61,66
202636,53,46,46
202637,47,26,35
202638,45,41,43
202639,75,69,77
202640,43,38,31
202641,53,46,41
202642,61,41,42
202643,48,42,38
202644,61,85,67
202645,50,72,
202646,50,60,66
202647,46,40,35
202648,39,35,29
202649,55,61,55
202650,63,83,87
202651,54,44,56
202652,68,67,77
202653,51,50,54
202654,60,49,54
202655,59,75,66
202656,44,31,30
202657,57,50,62
202658,60,44,55
202659,41,37,39
202660,50,48,46
202661,48,44,46
202662,45,38,38
202663,68,76,80
202664,49,48,40
202665,63,77,74
202666,51,35,36
202667,46,33,35
202668,54,48,42
202669,65,65,60
202670,68,66,54
202671,56,43,55
202672,60,57,51
202673,49,36,37
202674,45,25,37
202675,48,37,38
202676,56,54,54
202677,40,31,30
202678,61,60,67
202679,53,50,50
202680,57,48,54
202681,53,39,52
202682,62,42,44
202683,43,38,42
202684,43,43,36
202685,42,39,45
202686,62,42,45
202687,64,83,81
202688,56,42,60
202689,53,38,36
202690,71,50,57
202691,54,40,37
202692,47,41,40
202693,56,49,54
202694,44,35,32
202695,58,40,57
202696,0,0,0
202697,62,72,61
202698,48,37,38
202699,66,83,77
202700,49,50,60
202701,49,35,35
202702,54,43,46
202703,35,40,37
202704,45,37,33
202705,60,58,64
202706,48,45,49
202707,45,45,33
202708,44,36,35
202709,59,65,70
202710,56,56,51
202711,49,36,43
202712,57,69,64
202713,58,44,52
202714,55,52,49
202715,59,76,63
202716,38,35,36
202717,0,0,0
202718,64,65,62
202719,52,50,45
202720,56,51,46
202721,45,41,40
202722,0,0,0
202723,63,91,80
202724,54,70,47
202725,63,65,53
202726,59,60,53
202727,54,51,59
202728,68,88,78
202729,66,69,61
202730,74,98,90
202731,71,69,71
202732,73,75,65
202733,65,55,51
202734,68,83,86
202735,70,67,65
202736,73,73,68
202737,62,69,64
202738,60,72,66
202739,62,65,57
202740,77,88,92
202741,83,85,78
202742,68,93,78
202743,69,76,54
202744,72,65,57
202745,62,79,64
202746,51,68,43
202747,67,89,71
202748,58,66,56
202749,52,52,52
202750,63,57,55
202751,60,63,44
202752,51,45,53
202753,67,88,77
202754,63,57,72
202755,60,69,60
202756,64,59,60
202757,56,72,66
202758,74,80,83
202759,69,85,81
202760,65,86,76
202761,63,80,57
202762,79,89,84
202763,72,89,88
202764,76,75,73
202765,65,67,66
202766,62,64,50
202767,62,58,55
202768,61,53,57
202769,79,82,68
202770,56,63,44
202771,77,84,64
202772,59,47,45
202773,59,68,67
202774,64,71,72
202775,64,73,67
202776,52,60,59
202777,60,55,32
202778,71,63,69
202779,59,60,57
202780,52,39,35
202781,52,53,39
202782,52,45,37
202783,45,37,35
202784,44,40,32
202785,0,0,0
202786,49,36,35
202787,58,45,46
202788,50,45,36
202789,47,48,39
202790,53,47,36
202791,45,35,30
202792,60,65,56
202793,46,38,36
202794,43,35,25
202795,52,35,36
202796,49,36,29
202797,50,39,33
202798,43,54,35
202799,50,42,46
202800,49,52,40
202801,31,36,28
202802,53,43,35
202803,44,41,36
202804,51,61,37
202805,46,45,35
202806,48,43,35
202807,57,42,50
202808,42,40,32
202809,53,44,36
202810,61,55,39
202811,65,53,44
202812,44,43,32
202813,56,55,43
202814,62,62,53
202815,43,45,31
202816,57,53,44
202817,55,48,37
202818,43,40,29
202819,49,43,39
202820,45,53,36
202821,57,59,48
202822,52,57,40
202823,55,55,38
202824,45,40,30
202825,55,58,48
202826,56,60,50
202827,48,53,42
202828,61,43,33
202829,48,54,30
202830,56,45,44
202831,59,68,56
202832,49,51,27
202833,61,60,59
202834,42,45,35
202835,52,58,46
202836,63,68,42
202837,56,48,39
202838,56,55,50
202839,57,67,63
202840,59,49,45
202841,65,80,
202842,57,38,33
202843,56,64,53
202844,58,51,37
202845,53,62,46
202846,46,52,38
202847,57,45,39
202848,52,47,33
202849,66,78,58
202850,60,73,62
202851,54,48,35
202852,47,35,32
202853,56,43,48
202854,69,67,62
202855,48,45,41
202856,55,55,49
202857,53,59,31
202858,56,53,42
202859,54,54,41
202860,65,67,65
202861,48,39,33
202862,72,82,82
202863,52,61,51
202864,48,39,35
202865,55,32,29
202866,56,60,50
202867,36,27,26
202868,50,44,42
202869,59,70,51
202870,55,49,47
202871,59,42,45
202872,50,35,35
202873,72,75,70
202874,66,67,62
202875,43,40,32
202876,63,64,69
202877,58,74,68
202878,41,49,31
202879,67,59,53
202880,54,63,39
202881,55,60,52
202882,53,55,53
202883,56,63,56
202884,52,50,43
202885,41,33,31
202886,52,50,36
202887,74,63,61
202888,57,50,51
202889,61,57,70
202890,57,47,43
202891,84,94,93
202892,54,52,36
202893,46,39,35
202894,61,55,62
202895,42,40,36
202896,65,53,54
202897,46,37,32
202898,63,42,48
202899,52,44,55
202900,49,39,37
202901,46,35,35
202902,44,40,33
202903,48,44,35
202904,60,48,39
202905,79,78,73
202906,66,70,81
202907,55,71,55
202908,65,48,63
202909,62,69,72
202910,55,64,40
202911,83,90,94
202912,80,92,94
202913,54,65,51
202914,57,59,65
202915,72,88,76
202916,46,58,46
202917,71,57,48
202918,67,57,64
202919,36,30,28
202920,70,78,72
202921,71,67,76
202922,47,42,35
202923,42,31,31
202924,64,75,67
202925,60,74,58
202926,56,47,35
202927,49,53,37
202928,47,35,33
202929,54,59,57
202930,66,55,62
202931,63,72,72
202932,48,53,43
202933,55,48,49
202934,55,50,40
202935,73,78,74
202936,47,40,35
202937,62,54,54
202938,52,49,41
202939,55,43,35
202940,60,63,49
202941,54,77,50
202942,52,54,37
202943,48,50,35
202944,62,69,77
202945,65,79,71
202946,60,63,61
202947,59,42,44
202948,60,73,66
202949,57,42,42
202950,55,65,50
202951,59,82,70
202952,33,38,25
202953,42,39,33
202954,59,38,46
202955,52,41,31
202956,58,44,51
202957,54,63,75
202958,41,48,31
202959,61,45,52
202960,60,70,73
202961,71,81,67
202962,54,46,43
202963,48,65,48
202964,48,52,41
202965,48,59,47
202966,73,92,86
202967,44,38,33
202968,62,60,56
202969,54,64,62
202970,62,53,62
202971,51,67,57
202972,55,52,47
202973,57,46,46
202974,57,63,54
202975,58,55,54
202976,59,77,63
202977,42,25,28
202978,61,36,40
202979,67,90,69
202980,76,92,85
202981,72,62,59
202982,49,37,32
202983,50,74,68
202984,55,69,55
202985,60,68,56
202986,57,43,43
202987,57,53,47
202988,55,53,
202989,62,57,54
202990,42,29,29
202991,49,47,47
202992,43,33,37
202993,50,55,45
202994,59,58,58
202995,49,36,39
202996,57,62,50
202997,54,46,33
202998,57,48,43
202999,63,71,63
203000,62,74,63
203001,54,45,47
203002,54,36,37
203003,45,40,36
203004,65,52,55
203005,64,79,73
203006,54,58,56
203007,72,42,49
203008,60,72,68
203009,62,88,68
203010,55,59,56
203011,54,42,42
203012,63,44,48
203013,48,47,41
203014,55,49,41
203015,47,53,52
203016,57,59,56
203017,50,40,35
203018,45,38,31
203019,52,48,38
203020,48,44,30
203021,62,65,64
203022,43,44,41
203023,67,87,82
203024,58,72,71
203025,64,92,75
203026,48,59,56
203027,51,33,35
203028,58,46,50
203029,51,35,30
203030,51,45,47
203031,52,32,48
203032,54,71,65
203033,59,87,79
203034,53,48,47
203035,53,45,40
203036,57,60,55
203037,51,44,56
203038,56,53,58
203039,62,82,79
203040,67,73,70
203041,53,41,39
203042,55,48,40
203043,57,63,55
203044,52,50,39
203045,64,43,49
203046,64,46,46
203047,41,40,37
203048,67,54,52
203049,61,41,41
203050,62,68,63
203051,53,57,65
203052,49,37,37
203053,61,70,85
203054,63,66,65
203055,47,48,43
203056,48,37,38
203057,66,62,63
203058,56,53,66
203059,72,78,82
203060,48,35,38
203061,58,80,77
203062,57,67,59
203063,56,71,64
203064,54,67,65
203065,49,55,52
203066,61,70,70
203067,71,90,89
203068,45,64,50
203069,51,58,41
203070,67,86,90
203071,63,71,74
203072,47,39,32
203073,58,68,54
203074,50,38,40
203075,40,46,35
203076,65,79,82
203077,55,76,52
203078,50,43,33
203079,52,66,53
203080,40,39,35
203081,43,45,49
203082,60,66,63
203083,42,41,35
203084,50,43,35
203085,49,42,35
203086,63,61,50
203087,76,81,87
203088,56,55,49
203089,50,47,45
203090,65,60,73
203091,48,38,38
203092,61,68,63
203093,62,82,79
203094,59,51,49
203095,49,48,52
203096,69,88,74
203097,53,56,43
203098,57,49,41
203099,50,67,50
203100,60,39,35
203101,50,40,38
203102,42,37,31
203103,42,43,37
203104,39,32,29
203105,51,40,33
203106,64,86,70
203107,55,57,59
203108,54,74,40
203109,60,58,53
203110,58,68,58
203111,71,90,83
203112,69,77,62
203113,58,63,45
203114,57,50,44
203115,52,61,48
203116,56,41,41
203117,52,60,51
203118,75,77,75
203119,47,61,54
203120,56,75,68
203121,60,42,49
203122,60,75,63
203123,64,62,62
203124,54,42,47
203125,0,0,0
203126,63,37,47
203127,56,67,43
203128,76,95,91
203129,53,44,39
203130,48,43,35
203131,61,64,59
203132,58,57,42
203133,44,30,29
203134,56,63,50
203135,61,57,38
203136,0,0,0
203137,61,43,40
203138,54,61,47
203139,53,48,59
203140,64,46,69
203141,63,81,78
203142,67,63,48
203143,49,39,39
203144,53,48,33
203145,57,70,46
203146,55,46,40
203147,72,91,84
203148,65,67,71
203149,57,72,44
203150,77,88,85
203151,68,38,55
203152,0,0,0
203153,59,45,42
203154,0,0,0
